psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,L,N,seed,U,R,K
10000,0.997007308816621,0.9970073088166203,0.997007308816621,0.997007308816621,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.748546362809216,0.8043730952906495,0.9443382588524469,0.9983691788288125,-5.8977618019256886,-4.501376334941631,-1.8080424009442024,0.0,5.0072,15.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.3220756196260608,0.6289760701069635,0.7691611297742427,0.99829331369671,-6.264075640727597,-4.099036198264506,-0.7272126168484213,0.0,9.7062,24.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.1476076853037533,0.5167398879732448,0.567961424188282,0.9981534935438382,-6.486679821944324,-3.8192026248783653,-0.20289493812939627,3.0,14.0432,30.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.08280360814459903,0.44765798322189576,0.44284473404973135,0.9979064972621092,-6.627593146967388,-3.621147187115669,0.10956438662119178,5.0,18.1105,35.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.04953370518338005,0.3908219300071629,0.33489190291095344,0.9974608085658817,-6.777902491615414,-3.4661167352772253,0.3382614257717303,8.0,22.1402,42.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.034611720256190706,0.3537416269312394,0.27111941688631397,0.9978510495029972,-6.864044345410792,-3.3600280828437854,0.5072695218675785,9.0,25.9755,47.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.025915812916438092,0.3354768455791243,0.2422622894364443,0.9980770540702821,-6.936838700008427,-3.287719283621985,0.581557135677602,13.0,29.6476,57.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02470220269716164,0.32200985900254475,0.22313150195498377,0.9964313007884774,-7.037538605274487,-3.2555225645964434,0.6210003077137506,14.0,33.3834,55.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.01889301031669538,0.3060089657216116,0.19551332851396153,0.9950434814848969,-7.131558847838882,-3.2242363872144444,0.7077716241645982,16.0,37.1578,63.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.01853413814369044,0.29936573492685575,0.1881712398739764,0.9916385671978756,-7.227055681328129,-3.216093594135794,0.7111458902856562,17.0,40.9131,65.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.017593044637609342,0.29205078832825104,0.17652812079941688,0.9900252515060479,-7.308668612453916,-3.20198688753482,0.7411468408678599,24.0,44.8744,68.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.017253783442016807,0.2948818686363315,0.18390240453140164,0.9964754371437209,-7.448241245198088,-3.2344524548623323,0.736347692021258,28.0,48.5142,73.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.018164576672964245,0.2940962483261325,0.18755966508521102,0.9934167683462326,-7.557044497103161,-3.2613369490014708,0.7300102911143167,29.0,51.9713,77.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.018054760058533445,0.2895859172283432,0.1756284319188614,0.9948614906465049,-7.665705819956726,-3.2752747028249085,0.7630539626235111,31.0,55.5688,82.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.015746406888518433,0.28680279064826836,0.16537611987136835,0.9939288366064615,-7.746092430035432,-3.2796476434405246,0.7785204264612771,34.0,58.98,87.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.01763087700438594,0.288927195059228,0.17472472059727323,0.9943519796226533,-7.866467111261501,-3.306814011607229,0.7606851663952835,36.0,62.1998,94.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.016213113267297803,0.2868839074764374,0.17257128278353587,0.9929850202135244,-7.955938941946946,-3.310418813674836,0.7838400631278765,41.0,65.7796,96.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.01633162281483812,0.28859750513334637,0.17628171875259352,0.9960618866096962,-7.938849223989929,-3.3209657725035693,0.7711411248372476,45.0,69.2199,100.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.016864227573192593,0.290901716911131,0.17579446307484653,0.9935205716092353,-7.960260037268892,-3.3285029334300837,0.7702878206160201,47.0,72.7106,105.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.016757199425472567,0.286280874933078,0.17166293909923572,0.9935205716092353,-7.960477600709123,-3.330371484032621,0.7789033946967413,49.0,76.2532,110.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.017337546589844214,0.2946189891139462,0.18100284793972554,0.9957909421347956,-8.055413634209401,-3.3660914335570604,0.7319716721477763,54.0,80.0775,114.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.017433402654915612,0.29442276954184604,0.17977985663342214,0.9972985927556598,-8.09981947043518,-3.3913577288384187,0.745357964883778,58.0,83.8952,117.0,0.0,10000,-719784586405149528,5,9,10000
