R,U,L,N,K,replicate,seed,generation,psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,auxiliary_meanmut,assembly_meanmut,replication_meanmut,host_meanmut,auxiliary_meanfree,assembly_meanfree,replication_meanfree,host_meanfree
2,3.0,0.0,5000,10000,2,-2711960483430065533,1,5000,0.9967085327321933,0.9967085327321931,0.9967085327321933,0.9967085327321933,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0
2,3.0,0.0,5000,10000,2,-2711960483430065533,2,9962,0.9411873035527297,0.9224606449454481,0.988145459063974,0.9985788295354009,-5.645644290402585,-4.727915484794565,-2.6630533335975146,0.0,2.992973298534431,10.0,0.5426621160409556,0.811282874924714,0.5424613531419393,1.096566954426822,-4.737523864409457,-4.728903392483677,-4.730353822643167,-4.721151195295984
2,3.0,0.0,5000,10000,2,-2711960483430065533,3,10000,0.8174077514283447,0.8459321641124184,0.9532915042552553,0.9987387886816893,-6.0165326238585095,-4.4957883893875445,-1.7102437779362525,0.0,5.8832,18.0,1.0761,1.6043,1.0566,2.1462,-4.507439038495279,-4.4782468926296355,-4.504785235713529,-4.498620764239118
2,3.0,0.0,5000,10000,2,-2711960483430065533,4,10000,0.6711790325942668,0.7780824505642133,0.9017759747841765,0.9989384216248881,-6.244755554452377,-4.295823996099795,-1.145879096175837,0.0,8.6216,22.0,1.583,2.3804,1.536,3.1222,-4.284173230513466,-4.2512092850456025,-4.338962295239963,-4.31354126261352
2,3.0,0.0,5000,10000,2,-2711960483430065533,5,10000,0.5703959624785249,0.7268241511161357,0.8461873669956718,0.9984601218371257,-6.434162222183107,-4.135676855897535,-0.7970812400853623,1.0,11.2707,25.0,2.0856,3.1407,2.0052,4.0392,-4.100551679181082,-4.069066841823079,-4.174283136980332,-4.183893814270205
2,3.0,0.0,5000,10000,2,-2711960483430065533,6,10000,0.48621733710768517,0.6799951713342127,0.7901265130171637,0.9984314591761528,-6.5729143503917005,-3.999454953137899,-0.5325494527970086,2.0,13.8145,30.0,2.5712,3.8567,2.4515,4.9351,-3.9494866936164654,-3.9077472524354735,-4.062522313118765,-4.061686178435
2,3.0,0.0,5000,10000,2,-2711960483430065533,7,10000,0.42804258649212906,0.6439579366980724,0.7383260668601926,0.9981508374008743,-6.689080590165929,-3.8894618217110444,-0.348173098674768,4.0,16.273,32.0,3.0414,4.537,2.8897,5.8049,-3.816876320120445,-3.785290255600692,-3.9555493742499888,-3.9708394708196355
2,3.0,0.0,5000,10000,2,-2711960483430065533,8,10000,0.3869657857412243,0.6144738190323245,0.6934224590885882,0.9985441726306289,-6.764340286313831,-3.787738092746669,-0.19142359158243966,4.0,18.7096,37.0,3.5187,5.2237,3.3063,6.6609,-3.693121132526459,-3.669055534755888,-3.8794615042771605,-3.8781967855846147
2,3.0,0.0,5000,10000,2,-2711960483430065533,9,10000,0.3537962981290124,0.5890027456646262,0.6549772851408979,0.9978241756378213,-6.841274171783736,-3.7012157351704125,-0.07000082920092264,6.0,21.0774,39.0,3.9718,5.8883,3.7248,7.4925,-3.578028370971047,-3.5617497972099175,-3.8041659413426996,-3.8159337676543235
2,3.0,0.0,5000,10000,2,-2711960483430065533,10,10000,0.3155676943964327,0.5634081436717976,0.6145132129794376,0.9978167588442184,-6.885744755087444,-3.6267359759110644,0.04363323059547125,7.0,23.3863,42.0,4.3771,6.5373,4.1374,8.3345,-3.5021183139401795,-3.474056024664709,-3.7393579903635787,-3.7472437631050184
2,3.0,0.0,5000,10000,2,-2711960483430065533,11,10000,0.29401715881398627,0.5510864639915162,0.5996882719865053,0.9978167588442184,-6.974267674665952,-3.581087388230095,0.09570891524625065,9.0,25.643,46.0,4.8077,7.1701,4.511,9.1542,-3.434139741661497,-3.414486957061567,-3.698556350405149,-3.720777053803259
2,3.0,0.0,5000,10000,2,-2711960483430065533,12,10000,0.28365822422130527,0.5414078460559469,0.5816758582929435,0.9979093950137677,-7.052701244429959,-3.551144045618357,0.13322936445496467,12.0,27.8428,50.0,5.2101,7.7509,4.9115,9.9703,-3.4009656058445072,-3.367091897963066,-3.6805451520507,-3.6995718230305794
2,3.0,0.0,5000,10000,2,-2711960483430065533,13,10000,0.2690507996904785,0.5297259669615504,0.5655321020015978,0.9975648819274311,-7.083032087215353,-3.5122983843922144,0.19703359065451423,13.0,30.089,54.0,5.6329,8.3649,5.3374,10.7538,-3.3564915171939407,-3.3023115187732888,-3.6430314917287268,-3.682325413537288
2,3.0,0.0,5000,10000,2,-2711960483430065533,14,10000,0.25735864539670916,0.5204295665033616,0.5446076595678134,0.9974356724279857,-7.136166831606171,-3.4896687835838724,0.2421151535912135,15.0,32.2648,55.0,6.0305,8.991,5.7325,11.5108,-3.3284511468062745,-3.2686489704227664,-3.606573776668941,-3.677589965300968
2,3.0,0.0,5000,10000,2,-2711960483430065533,15,10000,0.2545645594597549,0.5141656351196685,0.5394739043918317,0.9974356724279857,-7.205615397286087,-3.4697943176337125,0.27220989687261715,16.0,34.496,58.0,6.4262,9.5927,6.1274,12.3497,-3.286453285069392,-3.2262642136458153,-3.5902330253332804,-3.6838930580570115
2,3.0,0.0,5000,10000,2,-2711960483430065533,16,10000,0.24475902207403208,0.5043564348343752,0.5225687131338028,0.9978606950723914,-7.263015987175362,-3.4512280351885356,0.3165972147317879,17.0,36.8235,61.0,6.8908,10.2414,6.5238,13.1675,-3.254474119662138,-3.169904353700719,-3.6038012265069397,-3.684311158408394
2,3.0,0.0,5000,10000,2,-2711960483430065533,17,10000,0.23377706440167262,0.500012959548433,0.5193720104832114,0.9966333059338087,-7.32635665884974,-3.4400800745411266,0.3459116780995441,19.0,39.1423,64.0,7.308,10.9059,6.9141,14.0143,-3.244316414922465,-3.135731357627186,-3.584545119920666,-3.6939909193461404
2,3.0,0.0,5000,10000,2,-2711960483430065533,18,10000,0.22253708406456488,0.49145035740639553,0.5030580616740243,0.9958814479700525,-7.3847530381194915,-3.4355968578119733,0.38085150703091925,21.0,41.4499,68.0,7.7564,11.4983,7.303,14.8922,-3.2308185117413415,-3.1282533468546094,-3.5781005921425835,-3.6972417969000047
2,3.0,0.0,5000,10000,2,-2711960483430065533,19,9790,0.22619645341415967,0.48993898023090227,0.5012054295058866,0.9959397626295252,-7.451711138334314,-3.4366421299081997,0.4104068252326392,23.0,43.66762002042901,72.0,8.173544433094994,12.11297242083759,7.676608784473953,15.704494382022473,-3.2182839758195705,-3.119823189637255,-3.583897143493436,-3.7098079053631055
2,3.0,0.0,5000,10000,2,-2711960483430065533,20,9641,0.2280228019072077,0.4859449332607699,0.49597457831579145,0.9926006049919048,-7.53608466959884,-3.447733639324903,0.42114385547209127,25.0,45.92843066071984,74.0,8.574525464163468,12.729384918576912,8.082252878332124,16.54226739964734,-3.216763765380294,-3.133461444115492,-3.5802811568845936,-3.732648963924422
2,3.0,0.0,5000,10000,2,-2711960483430065533,21,9390,0.2280459938145052,0.48685254354544816,0.4956796488781663,0.9955130141939056,-7.597020528876235,-3.4520305721343725,0.40138544614080196,26.0,48.255378061767836,78.0,9.00915867944622,13.372417465388711,8.490521831735888,17.38328008519702,-3.219624256238453,-3.136755960694715,-3.5872482683142133,-3.7370808405721556
2,3.0,0.0,5000,10000,2,-2711960483430065533,22,9120,0.21972262916194896,0.4828302970086153,0.4949608899910085,0.9946734592809657,-7.6745295933764375,-3.463956609000523,0.41927470257604743,27.0,50.49364035087719,81.0,9.416666666666666,13.98344298245614,8.87938596491228,18.214144736842105,-3.249727616045656,-3.1384111177182334,-3.600375638530563,-3.7470207091746537
2,3.0,0.0,5000,10000,2,-2711960483430065533,23,8798,0.2256037705502586,0.48476049419519035,0.4945633617163414,0.9948247897001884,-7.744993633416952,-3.474021614558699,0.4180101234350022,30.0,52.65719481700386,90.0,9.851784496476473,14.541145714935212,9.205842236872016,19.058422368720162,-3.2376013832808095,-3.151434525908983,-3.6068943485806892,-3.7677356796739363
2,3.0,0.0,5000,10000,2,-2711960483430065533,24,8524,0.20885259462014868,0.4795663275256632,0.49270554193671817,0.993536797167731,-7.828344487763585,-3.4821788762527146,0.4447091697612759,32.0,54.889723134678555,86.0,10.266893477240732,15.076724542468325,9.586227123416236,19.959877991553263,-3.246096753098706,-3.1552134201915605,-3.6141381396626073,-3.779464398170638
2,3.0,0.0,5000,10000,2,-2711960483430065533,25,8134,0.22274063899512045,0.48489604294586025,0.49476654840017403,0.9974151842775395,-7.875410242196941,-3.4998929786819777,0.41494132798767225,35.0,57.03430046717482,88.0,10.647283009589378,15.620727809195968,9.978608310794197,20.78768133759528,-3.2816272616282216,-3.1474374935086016,-3.6256394158858263,-3.8104942324869637
2,3.0,0.0,5000,10000,2,-2711960483430065533,26,7903,0.21753696344284562,0.4828572712205265,0.49249103900144225,0.9962424239992058,-7.9110429185398825,-3.4980625791224953,0.44374102359813467,37.0,59.299506516512714,89.0,11.0399848158927,16.184107301024927,10.412121978995318,21.663292420599774,-3.294754289251801,-3.130997896768255,-3.619484430124315,-3.8143043103226115
2,3.0,0.0,5000,10000,2,-2711960483430065533,27,7708,0.22139984265469603,0.4834983737941117,0.48870496372578776,0.9931523002920354,-7.969478880628773,-3.513700694366802,0.4323842866626734,38.0,61.5669434353918,93.0,11.434224182667359,16.733523611831863,10.837571354436948,22.56162428645563,-3.2669211878680513,-3.1348872216524595,-3.6499567646852333,-3.8530725169927194
2,3.0,0.0,5000,10000,2,-2711960483430065533,28,7409,0.22358089267626297,0.4910482306814781,0.504233839067882,0.9969126055112227,-7.982337236676119,-3.526977985812756,0.3960610493897013,40.0,63.70117424753678,98.0,11.852746659468215,17.235389391280876,11.242677824267782,23.370360372519908,-3.273438887979751,-3.145771384294845,-3.649686450990596,-3.8782982532787726
2,3.0,0.0,5000,10000,2,-2711960483430065533,29,7244,0.22392367473419356,0.4891328886696109,0.4998749817510293,0.9969120574016082,-8.00546837342557,-3.528378069586009,0.3959287308668025,42.0,65.88128106018775,100.0,12.230811706239647,17.798729983434566,11.608641634456102,24.243097736057425,-3.3028084877741595,-3.116051432038061,-3.6538589382588627,-3.887667404316468
2,3.0,0.0,5000,10000,2,-2711960483430065533,30,7074,0.2220797552613782,0.48892813334173213,0.49833042931518867,0.9969120574016082,-8.047753127882165,-3.5400771380233476,0.40543676253548927,43.0,68.0210630477806,106.0,12.592592592592593,18.304495335029685,11.983884648006786,25.14009047215154,-3.2936010423665936,-3.116689038295313,-3.6962014365867217,-3.9027941113660627
2,3.0,0.0,5000,10000,2,-2711960483430065533,31,6883,0.21143256114398123,0.48153200961132014,0.4894869643660569,0.995763554041954,-8.080955778423617,-3.549659529623157,0.4398086624527294,44.0,70.28025570245532,103.0,12.99912828708412,18.952201075112598,12.398808659014964,25.930117681243644,-3.301602251274392,-3.1146994285712672,-3.6933915837073443,-3.9280422175443626
2,3.0,0.0,5000,10000,2,-2711960483430065533,32,6649,0.21371895288786838,0.4810284822220632,0.48514976543150157,0.9935509721906014,-8.116403990396027,-3.5539773922618556,0.459024451846052,45.0,72.46999548804331,106.0,13.451195668521581,19.468040306813055,12.734997744021657,26.81576176868702,-3.2952457283502032,-3.1075060602618234,-3.6944303561318166,-3.947970241282727
2,3.0,0.0,5000,10000,2,-2711960483430065533,33,6373,0.2243121578961102,0.4872527603690933,0.49444284060433696,0.9923898210033818,-8.164167596567768,-3.573933843304681,0.4397390038553645,46.0,74.62811862545112,108.0,13.887807939745803,19.919347246194885,13.090695120037658,27.730268319472774,-3.3023705208197893,-3.109270019113334,-3.694971515370834,-3.997694536657562
2,3.0,0.0,5000,10000,2,-2711960483430065533,34,6204,0.21638801678359507,0.4844425381263699,0.49401361202388144,0.9930852990707744,-8.183470810705286,-3.5781669771638387,0.4541878965785378,47.0,76.78127014829143,113.0,14.327691811734365,20.433268858800773,13.474210186976144,28.54609929078014,-3.3125932580985578,-3.081308263463628,-3.694267637579843,-4.025547541763634
2,3.0,0.0,5000,10000,2,-2711960483430065533,35,6006,0.22619377395160806,0.487352567005869,0.5009600549224005,0.9941155278037418,-8.19026542604287,-3.580239732122107,0.44552304507267454,49.0,78.78438228438229,117.0,14.707292707292707,20.856809856809857,13.854145854145854,29.366133866133865,-3.3055858246493655,-3.0968800300990136,-3.703496991209496,-4.018457832832104
2,3.0,0.0,5000,10000,2,-2711960483430065533,36,5855,0.22106150684166162,0.4813387783292739,0.4898775634891346,0.9909211975074941,-8.1735658391259,-3.5716178333132276,0.47098502162236966,51.0,80.8534585824082,118.0,15.15064047822374,21.3134073441503,14.249188727583261,30.140222032450897,-3.33873049884891,-3.0931677795966035,-3.6712775898853556,-3.9970691625467896
2,3.0,0.0,5000,10000,2,-2711960483430065533,37,5609,0.21688123363058293,0.4827969419653,0.4974065696885295,0.9919520952417181,-8.189189384852394,-3.5669178690522663,0.45425069292763737,56.0,83.12515599928686,118.0,15.57300766625067,21.83758245676591,14.725262970226423,30.989302906043857,-3.3525260933989727,-3.0757019857523127,-3.662218705123801,-3.9948752513181116
2,3.0,0.0,5000,10000,2,-2711960483430065533,38,5413,0.21913301595410425,0.48127291521617394,0.49514178691980887,0.9953627399947003,-8.196002513528049,-3.560896468169667,0.45364215972012994,57.0,85.39830038795492,122.0,15.996859412525401,22.386292259375576,15.168298540550527,31.846850175503416,-3.340775569983423,-3.074517544052107,-3.64756306427292,-3.992407812299333
2,3.0,0.0,5000,10000,2,-2711960483430065533,39,5232,0.20776551489529527,0.47695251255368526,0.4870303381039969,0.9953521076688179,-8.208124679795976,-3.5540146980461502,0.4670148016311124,59.0,87.50363149847095,121.0,16.34480122324159,22.849006116207953,15.553899082568808,32.7559250764526,-3.323472421469858,-3.075943285834328,-3.641135797352839,-3.98427884583982
2,3.0,0.0,5000,10000,2,-2711960483430065533,40,5016,0.22756769352557774,0.480358227813624,0.48498545229715373,0.9979417545521159,-8.255289592345742,-3.570256567082426,0.4523231695284214,62.0,89.78867623604465,123.0,16.709728867623603,23.439792663476872,15.945574162679426,33.693580542264755,-3.3589982493695207,-3.0579191227485345,-3.6844156712641953,-4.003059257098412
2,3.0,0.0,5000,10000,2,-2711960483430065533,41,4819,0.2197045496369821,0.48032004261684863,0.4848041335265678,0.9955473540510948,-8.312536103271674,-3.58051914730454,0.44178602957479823,64.0,92.08943764266445,129.0,17.106246109151275,23.965345507366674,16.403818219547624,34.61402780659888,-3.3925385647048647,-3.0326072716546384,-3.705471253145367,-4.02296729242139
2,3.0,0.0,5000,10000,2,-2711960483430065533,42,4612,0.20912742197836803,0.47738423257814905,0.4936712531928691,0.9955389767571514,-8.384778341750817,-3.5880447847507897,0.47579975821236786,65.0,94.92714657415438,128.0,17.59410234171726,24.64050303555941,17.017562879444927,35.67497831743278,-3.3924531987452555,-3.0198985284480773,-3.7596700972729487,-4.026137613719512
2,3.0,0.0,5000,10000,2,-2711960483430065533,43,4473,0.21496762778121353,0.4776370287477952,0.4842426466556583,0.9934078131470433,-8.484759258228495,-3.601901578258716,0.46203125479590273,68.0,97.20456069751845,132.0,17.96154706013861,25.168119830091662,17.482897384305836,36.59199642298234,-3.3801514308699523,-3.0403129040863743,-3.7950555717685197,-4.037391160827451
2,3.0,0.0,5000,10000,2,-2711960483430065533,44,4292,0.2182700662649535,0.47963375868996405,0.4848138138927218,0.9899730519661015,-8.58049889576493,-3.627975316792307,0.45272975106578456,70.0,99.53331780055917,134.0,18.255358807082946,25.75326188257223,17.988583410997204,37.53611369990681,-3.4009192380361317,-3.055998365587797,-3.8439052387158976,-4.06252110861198
2,3.0,0.0,5000,10000,2,-2711960483430065533,45,4093,0.21976605023466425,0.4851682781819107,0.4958285104933453,0.9926035992440594,-8.562265229487304,-3.64884705536047,0.4404440686093807,72.0,101.79452724163205,136.0,18.568287319814317,26.429758123625703,18.445638895675543,38.35084290251649,-3.4495361889681972,-3.0576704267512125,-3.908796677162157,-4.061910149112705
2,3.0,0.0,5000,10000,2,-2711960483430065533,46,3957,0.22933735659399648,0.4909220637592573,0.5008815849410143,0.9922074195676512,-8.628399943151535,-3.6780372342095027,0.41726113487361605,74.0,104.0187010361385,140.0,18.851149861005812,26.987364164771293,18.913065453626484,39.2671215567349,-3.4722492628741297,-3.0668352532546455,-3.9931772383108566,-4.081762703542653
2,3.0,0.0,5000,10000,2,-2711960483430065533,47,3895,0.23608119258233107,0.488657740313535,0.49258420426658933,0.9942662246453057,-8.699207956762256,-3.694175646339799,0.43216792470006876,77.0,106.27111681643132,140.0,19.1196405648267,27.574582798459563,19.40795892169448,40.168934531450574,-3.4869018724775116,-3.0696321798122055,-3.9970373236669263,-4.114789294503071
2,3.0,0.0,5000,10000,2,-2711960483430065533,48,3806,0.23218442721452526,0.4912327642887454,0.5012472356790245,0.991919934565186,-8.676916163771509,-3.683849519044025,0.4513254802752693,78.0,108.43326326852339,144.0,19.434314240672624,28.161061481870732,19.83998949027851,40.997898055701526,-3.4453695322706333,-3.0455832416348994,-3.994138296706054,-4.1266448316565505
2,3.0,0.0,5000,10000,2,-2711960483430065533,49,3723,0.21379169338046175,0.4808232104418679,0.4855712092220561,0.9917624299859497,-8.697213855981072,-3.6947986980604925,0.4951234978582489,79.0,110.95192049422509,151.0,19.813859790491538,28.784045124899276,20.277195809830783,42.07681976900349,-3.484328173708338,-3.052703454072391,-4.008367186391249,-4.124821149062269
2,3.0,0.0,5000,10000,2,-2711960483430065533,50,3590,0.22582501815582326,0.4858012845014653,0.4936877388608929,0.9948211573966375,-8.772393885078587,-3.7124885028777332,0.4514304046894822,81.0,112.88551532033426,156.0,20.08300835654596,29.357381615598886,20.56183844011142,42.88328690807799,-3.5625709029713617,-3.052562925675116,-3.996846183137232,-4.140212645603132
2,3.0,0.0,5000,10000,2,-2711960483430065533,51,3463,0.22679201101984908,0.4889102014667453,0.5013257822911148,0.993841571172996,-8.819045721403796,-3.7267752537505783,0.434217019163446,81.0,115.01790355183367,160.0,20.397632110886516,29.80161709500433,21.037828472422756,43.78082587352007,-3.5737901437897515,-3.0238708443201805,-4.066485161053696,-4.160591162152233
2,3.0,0.0,5000,10000,2,-2711960483430065533,52,3389,0.22366396501047575,0.4822304168818458,0.4915006636683583,0.993841571172996,-8.853418037399745,-3.723390442469828,0.4764870022165232,84.0,117.22366479787549,157.0,20.70728828562998,30.29595750958985,21.423133667748598,44.79728533490705,-3.5917341996388807,-3.0096746118552145,-4.053174656968461,-4.1596133295969455
2,3.0,0.0,5000,10000,2,-2711960483430065533,53,3244,0.2184278679888464,0.4849233994087232,0.49724898397682427,0.9938495089149567,-8.923931146646519,-3.7384028927363873,0.4842184752611139,85.0,119.46516646115906,162.0,21.07367447595561,30.81627620221948,21.87422934648582,45.70098643649815,-3.591729460950732,-3.0388841272171088,-4.086662132302442,-4.162249062985647
2,3.0,0.0,5000,10000,2,-2711960483430065533,54,3167,0.22709837641131292,0.48910101671179607,0.5049056031467078,0.9937682264507218,-8.951965642310709,-3.7496522073082965,0.43806364860410263,86.0,121.72308178086517,160.0,21.461635617303443,31.319861067256078,22.337543416482475,46.604041679823176,-3.670347615836812,-3.043934289569318,-4.07340406364739,-4.156717013178724
2,3.0,0.0,5000,10000,2,-2711960483430065533,55,3097,0.23740598387306946,0.4898681257432775,0.5043408032426397,0.9940468858468982,-9.000356528385197,-3.753190811635205,0.43993295702522967,88.0,123.94865999354214,165.0,21.94575395544075,31.78624475298676,22.734904746528898,47.48175653858573,-3.6693081659160915,-3.0383776158054707,-4.073124690843257,-4.171275091763035
2,3.0,0.0,5000,10000,2,-2711960483430065533,56,3058,0.22382977301403095,0.482972333933784,0.49489744397282687,0.9927037245845354,-9.054020787991053,-3.740633950867016,0.4792604704805741,91.0,126.53956834532374,169.0,22.45879659908437,32.35775016350556,23.179856115107913,48.5431654676259,-3.6868132510880525,-2.9760927979157725,-4.089388427614199,-4.166572927096336
2,3.0,0.0,5000,10000,2,-2711960483430065533,57,2915,0.24575978771530627,0.49281548335696324,0.5002263210255314,0.9913234496313501,-9.065492654109574,-3.750552539790289,0.40971066756763863,94.0,128.8607204116638,172.0,22.93893653516295,32.80205831903945,23.581818181818182,49.53790737564322,-3.672274292581712,-2.9914948513084174,-4.119009355236421,-4.174756522032915
2,3.0,0.0,5000,10000,2,-2711960483430065533,58,2906,0.21551064082349577,0.47476965484636324,0.47403400144451147,0.991394368550703,-9.079005846915297,-3.711265438157736,0.48149228158529067,95.0,131.24845147969717,173.0,23.415691672401927,33.35271851342051,24.015485203028216,50.46455609084652,-3.6409466638206145,-2.953780184442141,-4.0407958515943925,-4.149773558894665
2,3.0,0.0,5000,10000,2,-2711960483430065533,59,2760,0.20737602781411493,0.4805892867180659,0.49715296506656936,0.9886543092292116,-9.128528440933199,-3.7097991800724954,0.4648178214468975,99.0,133.7644927536232,175.0,23.882246376811594,33.86014492753623,24.564855072463768,51.4572463768116,-3.6318028943044007,-2.985576247176231,-4.041678167363838,-4.126025028983072
2,3.0,0.0,5000,10000,2,-2711960483430065533,60,2651,0.22475121591696956,0.4887071997535081,0.5040174374494841,0.9863466314871423,-9.152611695453992,-3.717357091219711,0.412410388685926,104.0,135.81931346661636,178.0,24.285929837797056,34.28932478310072,24.814409656733307,52.42964918898529,-3.6724748605506092,-2.9876872836149984,-3.997439063404378,-4.147009576165462
2,3.0,0.0,5000,10000,2,-2711960483430065533,61,2599,0.20479099939083228,0.47950043838487294,0.5003467176846481,0.9870559003992654,-9.11117505849185,-3.695625426807773,0.44879812447280454,106.0,138.02077722200846,182.0,24.692574066948826,34.75375144286264,25.29049634474798,53.28395536744902,-3.650987399771822,-2.991060058878734,-3.937271156632625,-4.125545601360102
2,3.0,0.0,5000,10000,2,-2711960483430065533,62,2497,0.23370398611561746,0.4894065057203626,0.5031090569535159,0.9861939171902565,-9.081604146362542,-3.6967683030850185,0.41350622170707274,108.0,140.678814577493,185.0,25.198237885462554,35.345614737685224,25.819383259911895,54.31557869443332,-3.6030072584206256,-2.9959574032898986,-3.904271066510828,-4.165505618550653
2,3.0,0.0,5000,10000,2,-2711960483430065533,63,2449,0.22913298644131108,0.48278224877095816,0.4979906026648104,0.9862423882168352,-9.078678875528876,-3.678795778137851,0.41153505204463087,109.0,143.38750510412413,187.0,25.777460187831768,35.94610044916293,26.340955492037565,55.322988975091874,-3.51965396695171,-3.0149078852777658,-3.863935711461854,-4.163712636713982
2,3.0,0.0,5000,10000,2,-2711960483430065533,64,2376,0.21678972623476284,0.4758421437846779,0.48074905862935036,0.9862423882168352,-9.094325123938727,-3.6821308426299257,0.4461555810242996,111.0,146.10732323232324,187.0,26.38131313131313,36.50757575757576,26.81607744107744,56.4023569023569,-3.455050939514401,-3.046592423111812,-3.8462460263145637,-4.190267016983956
2,3.0,0.0,5000,10000,2,-2711960483430065533,65,2264,0.19638092698491075,0.46903624617809403,0.48422326932540816,0.9815111292025386,-9.137707317273849,-3.6929304507966774,0.48027811035434614,113.0,149.03003533568904,192.0,26.9863074204947,37.09628975265018,27.295494699646643,57.65194346289753,-3.4887638621404644,-3.0709800035342396,-3.8363899446904424,-4.189746833624729
2,3.0,0.0,5000,10000,2,-2711960483430065533,66,2126,0.21610765280897554,0.4767720869458755,0.498729576392048,0.9793294237557322,-9.152132945227068,-3.6998003808170163,0.4526681108598416,114.0,151.4524929444967,195.0,27.47318908748824,37.734713076199434,27.68203198494826,58.562558795860774,-3.4262724841777756,-3.087430699641062,-3.803402199240229,-4.244040680806997
2,3.0,0.0,5000,10000,2,-2711960483430065533,67,2010,0.2138380454847043,0.47492750368228237,0.48595527446060605,0.974613447914599,-9.099584286166117,-3.6937513554571093,0.45560894012756664,118.0,153.91890547263682,197.0,27.78855721393035,38.45870646766169,28.101990049751244,59.569651741293534,-3.4141360998510364,-3.1109536249077925,-3.7612860536720047,-4.236889932064686
2,3.0,0.0,5000,10000,2,-2711960483430065533,68,1918,0.2184573786640022,0.47513209851739,0.4822765671739515,0.9860633735286047,-9.08784424873934,-3.6777734394525585,0.4541903539446792,121.0,156.36392075078206,202.0,28.251824817518248,39.04848800834203,28.511470281543275,60.55213764337852,-3.3856773793936585,-3.0986043685323534,-3.688271253683405,-4.25294936555674
