R,U,L,N,K,replicate,seed,extinction_generation,extinction_status,final_generation,final_popsize
0,0.0,0.0,5000,10000,1,-7560493421792025401,1,extinct,1,0
0,0.0,0.0,5000,10000,2,4662274391607836890,1,extinct,1,0
0,0.0,0.0,5000,10000,3,8764381840429449068,1,extinct,1,0
0,0.0,0.0,5000,10000,4,6322532562107800614,1,extinct,1,0
0,0.0,0.0,5000,10000,5,-2109647260887221765,1,extinct,1,0
0,0.0,0.2,5000,10000,1,-3373483902284764598,1,extinct,1,0
0,0.0,0.2,5000,10000,2,-8604729675395501936,1,extinct,1,0
0,0.0,0.2,5000,10000,3,6679681268774532736,1,extinct,1,0
0,0.0,0.2,5000,10000,4,4993142911010820805,1,extinct,1,0
0,0.0,0.2,5000,10000,5,8356514793016274564,1,extinct,1,0
0,0.0,0.4,5000,10000,1,7379732405484654437,1,extinct,1,0
0,0.0,0.4,5000,10000,2,2094964848028999732,1,extinct,1,0
0,0.0,0.4,5000,10000,3,-4944827568430260085,1,extinct,1,0
0,0.0,0.4,5000,10000,4,-1697158922244750126,1,extinct,1,0
0,0.0,0.4,5000,10000,5,-5412179803569901368,1,extinct,1,0
0,0.0,0.6,5000,10000,1,-376561059526569434,1,extinct,1,0
0,0.0,0.6,5000,10000,2,7900579192579267823,1,extinct,1,0
0,0.0,0.6,5000,10000,3,-3834466776138741136,1,extinct,1,0
0,0.0,0.6,5000,10000,4,6433376211405942047,1,extinct,1,0
0,0.0,0.6,5000,10000,5,6992423963660047822,1,extinct,1,0
0,0.0,0.8,5000,10000,1,-4718025318167133805,1,extinct,1,0
0,0.0,0.8,5000,10000,2,7652291279483194994,1,extinct,1,0
0,0.0,0.8,5000,10000,3,6447593113422463511,1,extinct,1,0
0,0.0,0.8,5000,10000,4,665992922249071938,1,extinct,1,0
0,0.0,0.8,5000,10000,5,1944136944892703370,1,extinct,1,0
0,0.0,1.0,5000,10000,1,8524338077787795731,1,extinct,1,0
0,0.0,1.0,5000,10000,2,7518592665035997770,1,extinct,1,0
0,0.0,1.0,5000,10000,3,504096979143778785,1,extinct,1,0
0,0.0,1.0,5000,10000,4,-6982739821102655123,1,extinct,1,0
0,0.0,1.0,5000,10000,5,-72628313776447090,1,extinct,1,0
0,0.5,0.0,5000,10000,1,1915382862596213159,1,extinct,1,0
0,0.5,0.0,5000,10000,2,-395277176979730902,1,extinct,1,0
0,0.5,0.0,5000,10000,3,-8836863994035984819,1,extinct,1,0
0,0.5,0.0,5000,10000,4,5968709042714366998,1,extinct,1,0
0,0.5,0.0,5000,10000,5,-19586760078250232,1,extinct,1,0
